id;date;price;free_float;shares
10;2026-09-21;;0.6766;309375
100;2026-09-21;;0.9237;13320867
101;2026-09-21;;0.8476;5835000
103;2026-09-21;;1;45867891
104;2026-09-21;;0.4929;3000000
106;2026-09-21;;0.2955;13649739
107;2026-09-21;;0.4662;5349810
108;2026-09-21;;0.2312;13999084
109;2026-09-21;;0.6217;10250000
11;2026-09-21;;0.72;1485000
110;2026-09-21;;0.875;7230626
111;2026-09-21;;1;7449923
112;2026-09-21;;0.9433;1000000
117;2026-09-21;;0.4741;1140000
118;2026-09-21;;0.3969;307100183
12;2026-09-21;;0.4172;1960000
120;2026-09-21;;0.4002;105000
121;2026-09-21;;0.8627;18472000
122;2026-09-21;;0.487;12848962
124;2026-09-21;;0.3137;67077452
127;2026-09-21;;0.3167;28500000
128;2026-09-21;;0.913;3400000
129;2026-09-21;;0.5029;5975580
13;2026-09-21;;0.5119;136057708
130;2026-09-21;;0.0569;40200
132;2026-09-21;;0.9036;14681232
133;2026-09-21;;0.9046;20759126
134;2026-09-21;;0.5725;13461428
135;2026-09-21;;0.3887;40000000
136;2026-09-21;;1;72000
137;2026-09-21;;0.6167;218654496
14;2026-09-21;;0.2371;12960000
140;2026-09-21;;0.601;12600000
141;2026-09-21;;0.8376;19190000
142;2026-09-21;;0.0289;7730394
149;2026-09-21;;0.5118;34262370
151;2026-09-21;;1;55400000
153;2026-09-21;;0.2174;31053147
154;2026-09-21;;0.7065;255136
155;2026-09-21;;1;2576520000
157;2026-09-21;;0.6541;960500
158;2026-09-21;;0.3388;1146931
16;2026-09-21;;0.8049;12300000
160;2026-09-21;;0.8566;194777282
162;2026-09-21;;0.7788;7730000
163;2026-09-21;;1;206001780
167;2026-09-21;;0.7791;69473243
168;2026-09-21;;0.88;6542399
171;2026-09-21;;0.7379;55535334
173;2026-09-21;;0.8006;7611972
174;2026-09-21;;0.4482;5840453
175;2026-09-21;;0.6357;16440757
176;2026-09-21;;1;298761710
177;2026-09-21;;1;537582089
178;2026-09-21;;0.4525;159102442
18;2026-09-21;;0.5461;1104704
180;2026-09-21;;0.3746;52800000
181;2026-09-21;;0.55;65042963
182;2026-09-21;;1;2729551
183;2026-09-21;;0.6434;460340
184;2026-09-21;;0.2365;2400000
186;2026-09-21;;0.5404;18494242
188;2026-09-21;;0.3846;11020600
189;2026-09-21;;0.7975;10622130
190;2026-09-21;;0.8926;3360000
191;2026-09-21;;1;30000000
193;2026-09-21;;1;4000000
194;2026-09-21;;0.8807;6650000
195;2026-09-21;;0.4205;11664219
196;2026-09-21;;0.4669;38900000
198;2026-09-21;;0.4604;10119600
199;2026-09-21;;0.4185;13500000
2;2026-09-21;;0.6449;5488858
20;2026-09-21;;0.1947;228492
200;2026-09-21;;0.8032;1827000
201;2026-09-21;;1;99844394
202;2026-09-21;;0.9133;40374641
203;2026-09-21;;0.6186;119632
205;2026-09-21;;0.918;3341581714
207;2026-09-21;;0.6387;9500000
208;2026-09-21;;1;9268200
209;2026-09-21;;0.8966;43229135
211;2026-09-21;;0.7144;1827000
215;2026-09-21;;0.2997;15800000
216;2026-09-21;;0.3927;3318027
217;2026-09-21;;0.6084;4088287
218;2026-09-21;;0.8966;30000000
219;2026-09-21;;0.3008;6285712
220;2026-09-21;;0.5454;6015000
221;2026-09-21;;0.6162;30701875
222;2026-09-21;;0.572;17543522
223;2026-09-21;;0.76;39179277
224;2026-09-21;;0.2184;12800000
226;2026-09-21;;0.6288;10126018
227;2026-09-21;;0.2743;72000000
228;2026-09-21;;1;50000000
229;2026-09-21;;1;7773966
23;2026-09-21;;0.9075;13774000
230;2026-09-21;;0.215;3000000
231;2026-09-21;;0.3785;30800000
233;2026-09-21;;0.1844;3023295
234;2026-09-21;;0.7826;252461108
236;2026-09-21;;0.7035;51617824
237;2026-09-21;;0.8962;28908944
24;2026-09-21;;0.9192;854000
241;2026-09-21;;0.844;133905
243;2026-09-21;;0.7873;51538818
244;2026-09-21;;0.7401;71907147
245;2026-09-21;;0.4662;116919500
